Expiration Date,id,Last Sale,Bid,Ask,Volume,Open Interest,Strike,tau,type
12/3/2021 0:00,TSLA211203C00050000,1076.65,1081.4,1083.65,4,3,50,0.008333333,c
12/3/2021 0:00,TSLA211203C00100000,1026.1,1031.45,1033.8,1,2,100,0.008333333,c
12/3/2021 0:00,TSLA211203C00150000,982.35,981.3,983.65,8,2,150,0.008333333,c
12/3/2021 0:00,TSLA211203C00200000,926.65,931.4,933.65,4,1,200,0.008333333,c
12/3/2021 0:00,TSLA211203C00250000,876.65,881.4,883.65,1,13,250,0.008333333,c
12/3/2021 0:00,TSLA211203C00300000,768.7,831.4,833.65,0,7,300,0.008333333,c
12/3/2021 0:00,TSLA211203C00350000,731.7,781.4,783.65,0,5,350,0.008333333,c
12/3/2021 0:00,TSLA211203C00400000,733,731.4,733.65,6,12,400,0.008333333,c
12/3/2021 0:00,TSLA211203C00450000,685.35,681.5,683.65,1,9,450,0.008333333,c
12/3/2021 0:00,TSLA211203C00500000,636.15,631.3,633.65,22,26,500,0.008333333,c
12/3/2021 0:00,TSLA211203C00550000,587.5,582.25,583.75,34,9,550,0.008333333,c
12/3/2021 0:00,TSLA211203C00600000,535.7,532.3,533.8,25,18,600,0.008333333,c
12/3/2021 0:00,TSLA211203C00650000,483.9,482.35,483.85,32,25,650,0.008333333,c
12/3/2021 0:00,TSLA211203C00700000,434.75,432.4,433.95,65,118,700,0.008333333,c
12/3/2021 0:00,TSLA211203C00750000,384.15,382.6,384.1,39,152,750,0.008333333,c
12/3/2021 0:00,TSLA211203C00795000,331.64,337.7,339.25,19,61,795,0.008333333,c
12/3/2021 0:00,TSLA211203C00800000,336.5,332.75,334.05,32,138,800,0.008333333,c
12/3/2021 0:00,TSLA211203C00805000,328,327.75,329.1,58,83,805,0.008333333,c
12/3/2021 0:00,TSLA211203C00810000,326.7,322.8,324.35,37,42,810,0.008333333,c
12/3/2021 0:00,TSLA211203C00815000,317.4,317.85,319,56,37,815,0.008333333,c
12/3/2021 0:00,TSLA211203C00820000,319.45,312.9,314.05,36,49,820,0.008333333,c
12/3/2021 0:00,TSLA211203C00825000,308.8,307.95,309.2,24,33,825,0.008333333,c
12/3/2021 0:00,TSLA211203C00830000,305.75,302.95,304.45,42,129,830,0.008333333,c
12/3/2021 0:00,TSLA211203C00835000,301.35,298,299.5,17,39,835,0.008333333,c
12/3/2021 0:00,TSLA211203C00840000,293.05,293.05,294.25,20,108,840,0.008333333,c
12/3/2021 0:00,TSLA211203C00845000,288.72,288.05,289.2,25,25,845,0.008333333,c
12/3/2021 0:00,TSLA211203C00850000,285.55,283.1,284.35,36,85,850,0.008333333,c
12/3/2021 0:00,TSLA211203C00855000,280.6,278.15,279.4,40,74,855,0.008333333,c
12/3/2021 0:00,TSLA211203C00860000,272.25,273.2,274.45,23,53,860,0.008333333,c
12/3/2021 0:00,TSLA211203C00865000,262.85,268.25,269.45,11,77,865,0.008333333,c
12/3/2021 0:00,TSLA211203C00870000,265.77,263.3,264.45,31,260,870,0.008333333,c
12/3/2021 0:00,TSLA211203C00875000,259.08,258.35,259.45,34,330,875,0.008333333,c
12/3/2021 0:00,TSLA211203C00880000,256.49,253.4,254.65,39,182,880,0.008333333,c
12/3/2021 0:00,TSLA211203C00885000,250.25,248.4,249.8,30,54,885,0.008333333,c
12/3/2021 0:00,TSLA211203C00890000,249.19,243.45,244.75,31,155,890,0.008333333,c
12/3/2021 0:00,TSLA211203C00895000,241.52,238.5,239.8,33,121,895,0.008333333,c
12/3/2021 0:00,TSLA211203C00900000,236.61,233.6,235.15,60,1042,900,0.008333333,c
12/3/2021 0:00,TSLA211203C00905000,230.85,228.65,229.8,18,85,905,0.008333333,c
12/3/2021 0:00,TSLA211203C00910000,225.2,223.8,224.95,68,2740,910,0.008333333,c
12/3/2021 0:00,TSLA211203C00915000,219.4,218.8,220.05,25,111,915,0.008333333,c
12/3/2021 0:00,TSLA211203C00920000,214.5,213.9,215.05,10,250,920,0.008333333,c
12/3/2021 0:00,TSLA211203C00925000,211.4,209,210.45,29,279,925,0.008333333,c
12/3/2021 0:00,TSLA211203C00930000,205.01,204.1,205.4,26,111,930,0.008333333,c
12/3/2021 0:00,TSLA211203C00935000,202.3,199.2,200.35,11,122,935,0.008333333,c
12/3/2021 0:00,TSLA211203C00940000,197.4,194.35,195.6,64,152,940,0.008333333,c
12/3/2021 0:00,TSLA211203C00950000,187.3,184.6,186.05,81,311,950,0.008333333,c
12/3/2021 0:00,TSLA211203C00960000,177.35,174.95,176.15,92,178,960,0.008333333,c
12/3/2021 0:00,TSLA211203C00970000,165.3,165.3,166.4,74,359,970,0.008333333,c
12/3/2021 0:00,TSLA211203C00975000,162.54,160.55,161.75,91,213,975,0.008333333,c
12/3/2021 0:00,TSLA211203C00980000,161.1,155.75,157.05,86,462,980,0.008333333,c
12/3/2021 0:00,TSLA211203C00985000,156.4,151.05,152.3,41,79,985,0.008333333,c
12/3/2021 0:00,TSLA211203C00990000,149.3,146.3,147.35,76,321,990,0.008333333,c
12/3/2021 0:00,TSLA211203C00995000,144.85,141.6,142.65,97,214,995,0.008333333,c
12/3/2021 0:00,TSLA211203C01000000,139.54,136.95,138.05,281,1183,1000,0.008333333,c
12/3/2021 0:00,TSLA211203C01005000,133.8,132.35,133.45,75,161,1005,0.008333333,c
12/3/2021 0:00,TSLA211203C01010000,126.06,127.75,129.05,262,849,1010,0.008333333,c
12/3/2021 0:00,TSLA211203C01015000,124.95,123.2,124.25,251,568,1015,0.008333333,c
12/3/2021 0:00,TSLA211203C01020000,121.05,118.65,119.65,142,618,1020,0.008333333,c
12/3/2021 0:00,TSLA211203C01025000,115.95,114.1,115.25,76,670,1025,0.008333333,c
12/3/2021 0:00,TSLA211203C01030000,111.4,109.65,110.75,188,390,1030,0.008333333,c
12/3/2021 0:00,TSLA211203C01035000,107.75,105.25,106.3,117,149,1035,0.008333333,c
12/3/2021 0:00,TSLA211203C01040000,106.05,100.95,102.2,589,667,1040,0.008333333,c
12/3/2021 0:00,TSLA211203C01045000,99.04,96.65,97.6,76,381,1045,0.008333333,c
12/3/2021 0:00,TSLA211203C01050000,94,92.4,93.35,923,1849,1050,0.008333333,c
12/3/2021 0:00,TSLA211203C01055000,89.4,88.25,89.15,76,339,1055,0.008333333,c
12/3/2021 0:00,TSLA211203C01060000,86.42,84.15,85.25,117,703,1060,0.008333333,c
12/3/2021 0:00,TSLA211203C01065000,81.15,80.1,81.2,115,1015,1065,0.008333333,c
12/3/2021 0:00,TSLA211203C01070000,77.36,76.15,77,1849,582,1070,0.008333333,c
12/3/2021 0:00,TSLA211203C01075000,75,72.25,73.1,136,420,1075,0.008333333,c
12/3/2021 0:00,TSLA211203C01080000,69.45,68.45,69.3,571,1497,1080,0.008333333,c
12/3/2021 0:00,TSLA211203C01085000,67,64.75,65.5,457,470,1085,0.008333333,c
12/3/2021 0:00,TSLA211203C01090000,61.95,61.1,61.85,793,2408,1090,0.008333333,c
12/3/2021 0:00,TSLA211203C01095000,59.1,57.55,58.3,779,824,1095,0.008333333,c
12/3/2021 0:00,TSLA211203C01100000,54.35,54.15,54.85,8948,3867,1100,0.008333333,c
12/3/2021 0:00,TSLA211203C01105000,51.75,50.8,51.5,931,858,1105,0.008333333,c
12/3/2021 0:00,TSLA211203C01110000,49.05,47.55,48.2,2791,1864,1110,0.008333333,c
12/3/2021 0:00,TSLA211203C01115000,45.35,44.45,45,2379,710,1115,0.008333333,c
12/3/2021 0:00,TSLA211203C01120000,41.9,41.45,42,12316,2159,1120,0.008333333,c
12/3/2021 0:00,TSLA211203C01125000,38.55,38.55,39,7211,3070,1125,0.008333333,c
12/3/2021 0:00,TSLA211203C01130000,36,35.7,36.15,17593,1796,1130,0.008333333,c
12/3/2021 0:00,TSLA211203C01135000,33,33.05,33.45,5595,509,1135,0.008333333,c
12/3/2021 0:00,TSLA211203C01140000,30.6,30.5,30.9,9657,954,1140,0.008333333,c
12/3/2021 0:00,TSLA211203C01145000,27.88,28.05,28.4,2225,442,1145,0.008333333,c
12/3/2021 0:00,TSLA211203C01150000,25.85,25.7,26,33293,4240,1150,0.008333333,c
12/3/2021 0:00,TSLA211203C01155000,24.11,23.5,23.8,1597,480,1155,0.008333333,c
